Sr,Area,District,State,Address,Contact Number,Latitude,Longitude
1,Dankuni,Hooghly,West Bengal,"Dankuni,West Bengal",9804000000,22.6809296,88.2970142
6,Kolkata,Kolkata,West Bengal,"Kolkata,West Bengal",8910096323,22.572646,88.363895
8,Kolkata,Kolkata,West Bengal,"Kolkata,West Bengal",8240337543,22.572646,88.363895
10,Saltlake,South 24 parganas,West Bengal,"Salt Lake,West Bengal",9339969160,22.5796842,88.414312
11,Beleghata,Kolkata,West Bengal,"Beleghata,West Bengal",9007908940,22.5628793,88.3962477
12,Habra,North 24 parganas,West Bengal,"Habra,West Bengal",7003873030,22.8408094,88.6535105
13,Habra,North 24 parganas,West Bengal,"Habra,West Bengal",9883272794,22.8408094,88.6535105
14,South kolkata,Kolkata,West Bengal,"South Kolkata,West Bengal",801398551,22.572646,88.363895
15,South kolkata,Kolkata,West Bengal,"South Kolkata,West Bengal",9903999641,22.572646,88.363895
16,South kolkata,Kolkata,West Bengal,"South Kolkata,West Bengal",9830771061,22.572646,88.363895
23,Barrackpore,North 24 parganas,West Bengal,"Barrackpore,West Bengal",7686920344,22.7674278,88.3883455
24,Howrah,Howrah,West Bengal,"Howrah,West Bengal",7890982667,22.5957689,88.2636394
26,Barrackpore,North 24 parganas,West Bengal,"Barrackpore,West Bengal",9163365148,22.7674278,88.3883455
27,Kolkata,Kolkata,West Bengal,"Kolkata,West Bengal",9434343870,22.572646,88.363895
28,Kolkata,Kolkata,West Bengal,"Kolkata,West Bengal",9674894610,22.572646,88.363895
29,Kolkata,Kolkata,West Bengal,"Kolkata,West Bengal",9875311445,22.572646,88.363895
32,Kolkata,Kolkata,West Bengal,"Kolkata,West Bengal",9002534659,22.572646,88.363895
33,Kolkata,Kolkata,West Bengal,"Kolkata,West Bengal",9163255142,22.572646,88.363895
36,Jadavpur,Kolkata,West Bengal,"Jadavpur,West Bengal",8910898785,,
40,Baghajatin,Kolkata,West Bengal,"Baghajatin,West Bengal",0644 64248,,
42,South kolkata,Kolkata,West Bengal,"South Kolkata,West Bengal",9831213495,,
43,Ballygunge,Kolkata,West Bengal,"Ballygunge,West Bengal",8742 55412,,
44,Jadavpur,Kolkata,West Bengal,"Jadavpur,West Bengal",9836542541,,
46,North kolkata,Kolkata,West Bengal,"North Kolkata,West Bengal",4201 84573,,
